level,n_reps,r_mean,ci_lo,ci_hi,n_genes
2,100,-0.01541577104569206,-0.07858182588905903,0.031097822772923778,4715
5,100,-0.03424563506244145,-0.07770223349129717,0.0036308464361162127,6914
10,100,-0.04710291612179684,-0.08861430258576129,-0.009872839655749395,8385
20,100,-0.0614175147941255,-0.09378396012001881,-0.022852106516683766,9583
40,50,-0.07754987715390348,-0.10585637339379511,-0.05444266429899131,10524
80,50,-0.09310592162235633,-0.11245549844030903,-0.07025705481688292,11300
160,20,-0.10582983271942074,-0.11948549146380395,-0.09573444338560312,11951
320,20,-0.11492776482162943,-0.12036876477142083,-0.10772919591248463,12571
587,1,-0.1199790386455442,-0.1199790386455442,-0.1199790386455442,13100
